File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_stm32g431xx.o,43.194599%,10752,536,64,472,0,10752
aurofoc.o,29.133858%,7252,3130,3078,0,52,7200
usbd_cdc_if.o,8.307890%,2068,172,152,0,20,2048
usbd_conf.o,5.126145%,1276,684,684,0,0,1276
usb_device.o,2.892496%,720,84,84,0,0,720
usbd_desc.o,2.386309%,594,370,288,0,82,512
motorevent.o,1.623011%,404,460,460,0,0,404
usart.o,1.574803%,392,496,496,0,0,392
tim.o,1.221276%,304,1108,1108,0,0,304
usbd_cdc.o,1.088703%,271,1073,802,0,271,0
protocol.o,0.915957%,228,598,598,0,0,228
adc.o,0.883818%,220,636,632,0,4,216
spi.o,0.401735%,100,180,180,0,0,100
fdcan.o,0.401735%,100,232,232,0,0,100
c_w.l,0.385666%,96,686,686,0,0,96
libspace.o,0.385666%,96,8,8,0,0,96
stm32g4xx_hal.o,0.048208%,12,138,126,0,12,0
system_stm32g4xx.o,0.016069%,4,44,16,24,4,0
user_app.o,0.004017%,1,141,140,0,1,0
usbd_ctlreq.o,0.004017%,1,1265,1264,0,1,0
aurofoccomm.o,0.004017%,1,3393,3392,0,1,0
